Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
Smartwatch,Apple,2,2.9,Moderate,3.1999999999999997,5,24125,1,16585.94
TV,Samsung,1,8.5,Moderate,8.6,5,30873,10,500.0
Laptop,Dell,1,4.9,Moderate,5.000000000000001,2,79328,1,34904.32
TV,LG,4,9.2,Light,10.0,1,47481,7,5697.72
Tablet,Samsung,1,3.6,Heavy,3.5000000000000004,1,33290,6,500.0
TV,Sony,5,13.3,Heavy,14.0,3,30716,9,7679.0
Smartwatch,Samsung,3,3.1,Light,3.7,5,17607,8,500.0
Laptop,Apple,5,6.7,Moderate,7.6000000000000005,2,57923,10,500.0
TV,Sony,5,12.4,Light,13.4,1,161271,6,35624.04
Smartphone,Realme,3,2.3,Moderate,2.8,5,56041,8,500.0
Smartphone,OnePlus,1,4.7,Moderate,4.800000000000001,2,77586,10,500.0
Refrigerator,Godrej,4,9.7,Moderate,10.4,3,54684,10,1472.26
Smartwatch,Noise,1,4.5,Light,4.7,2,26677,5,500.0
Laptop,Asus,2,7.0,Moderate,7.300000000000001,1,128083,6,9123.72
Tablet,Huawei,4,4.9,Light,5.7,4,57442,3,23127.96
Refrigerator,LG,3,12.5,Heavy,12.799999999999999,1,65850,6,13993.12
Washing Machine,Whirlpool,5,11.4,Heavy,12.1,1,47265,10,3281.21
Tablet,Samsung,4,5.1,Light,5.8999999999999995,4,23894,6,500.0
Smartwatch,Noise,3,2.5,Light,3.1,1,14225,8,500.0
Smartwatch,Noise,2,4.2,Light,4.6000000000000005,1,27791,2,6283.18
Washing Machine,Samsung,5,13.1,Heavy,13.799999999999999,4,55249,10,12931.47
Laptop,Acer,4,5.9,Light,6.7,3,40571,4,11444.66
Tablet,Huawei,1,4.1,Heavy,4.0,2,47211,8,500.0
Refrigerator,Samsung,4,10.6,Moderate,11.3,1,20272,9,1650.46
TV,OnePlus,5,10.1,Light,11.1,3,76181,1,48522.49
Tablet,Samsung,4,7.0,Heavy,7.5,2,26482,9,500.0
Tablet,Lenovo,5,6.4,Heavy,7.1000000000000005,4,54575,2,33321.5
Refrigerator,Samsung,5,14.3,Heavy,15.0,2,73837,3,32488.28
TV,Samsung,3,11.3,Moderate,11.8,4,103780,7,35883.25
TV,OnePlus,5,12.9,Heavy,13.6,5,74026,1,68582.91
Smartwatch,Samsung,2,4.1,Heavy,4.2,4,25215,1,16329.71
Smartphone,Apple,1,4.1,Heavy,4.0,2,76943,5,500.0
Tablet,Huawei,3,3.9,Light,4.5,1,55500,4,2466.67
Smartphone,Realme,4,3.0,Heavy,3.5,1,20610,9,500.0
Smartphone,OnePlus,4,3.6,Moderate,4.300000000000001,2,82229,10,500.0
Smartphone,Apple,5,4.7,Light,5.7,2,109075,3,28416.91
Laptop,Acer,4,6.0,Moderate,6.7,2,85801,5,11973.72
Smartphone,Realme,3,3.8,Heavy,4.1000000000000005,3,47582,10,500.0
Smartphone,Xiaomi,1,4.5,Heavy,4.4,5,89751,6,500.0
Washing Machine,Whirlpool,2,13.0,Moderate,13.3,5,34700,7,16436.84
Washing Machine,Whirlpool,5,15.0,Moderate,15.9,4,36502,10,11513.05
Smartwatch,Boat,1,2.1,Heavy,2.0000000000000004,2,48096,8,500.0
Washing Machine,Whirlpool,1,10.1,Moderate,10.2,5,57958,8,12500.75
Smartwatch,Samsung,3,2.8,Light,3.4,4,10868,5,500.0
Smartphone,Vivo,2,2.0,Heavy,2.1,3,57565,4,500.0
Smartwatch,Samsung,1,3.4,Heavy,3.3000000000000003,2,36154,9,500.0
Laptop,HP,4,5.5,Light,6.3,1,130991,3,27445.73
Smartphone,Vivo,4,5.0,Moderate,5.7,4,95723,7,500.0
TV,TCL,3,11.7,Heavy,11.999999999999998,2,90426,5,29011.67
Washing Machine,Bosch,4,10.9,Light,11.700000000000001,5,27346,3,20334.21
Smartwatch,Boat,3,2.5,Light,3.1,3,42933,10,500.0
Tablet,Samsung,3,3.8,Moderate,4.300000000000001,4,60951,1,39759.9
Refrigerator,Whirlpool,5,12.6,Heavy,13.299999999999999,4,34562,2,24960.0
Refrigerator,Godrej,3,10.9,Heavy,11.2,3,60007,6,19502.28
Smartphone,Xiaomi,2,3.3,Heavy,3.4,2,14942,4,500.0
Smartphone,Apple,2,3.1,Light,3.5,2,56251,4,500.0
Washing Machine,IFB,1,11.1,Heavy,10.999999999999998,1,23825,1,8663.64
Smartwatch,Samsung,4,5.0,Heavy,5.5,3,44023,3,14007.32
Washing Machine,Samsung,2,11.1,Heavy,11.2,2,43866,9,4739.09
Laptop,Lenovo,1,6.7,Moderate,6.800000000000001,5,142798,1,121798.29
Smartwatch,Samsung,3,4.6,Light,5.199999999999999,4,45406,8,500.0
Tablet,Samsung,3,6.2,Heavy,6.500000000000001,3,68991,3,26004.3
Smartphone,Apple,1,3.7,Light,3.9000000000000004,2,103978,10,500.0
Washing Machine,Bosch,1,11.8,Moderate,11.9,2,56647,7,12828.88
Tablet,Samsung,5,4.8,Heavy,5.5,5,23889,9,500.0
Tablet,Apple,4,3.9,Light,4.7,3,68861,10,500.0
Smartphone,Samsung,3,2.3,Heavy,2.6,5,45263,2,10445.31
Tablet,Apple,5,5.5,Heavy,6.2,4,77214,8,500.0
Refrigerator,Godrej,4,11.2,Light,12.0,4,34561,8,9792.28
Smartphone,Apple,5,3.4,Heavy,4.1000000000000005,2,54083,2,15235.58
Tablet,Lenovo,5,5.7,Heavy,6.4,5,35289,4,13233.38
Smartwatch,Noise,3,3.6,Moderate,4.1000000000000005,2,22948,1,9543.01
Smartphone,Vivo,2,3.8,Moderate,4.1000000000000005,4,103066,8,500.0
TV,OnePlus,3,10.8,Moderate,11.3,1,116243,9,9464.03
TV,TCL,3,9.7,Moderate,10.2,4,40492,4,20920.87
Smartwatch,Apple,3,2.2,Moderate,2.7,4,14967,3,500.0
Tablet,Huawei,3,4.9,Heavy,5.2,2,10471,5,500.0
Laptop,Asus,1,4.3,Heavy,4.2,5,51751,10,500.0
TV,OnePlus,5,11.5,Moderate,12.4,3,140147,6,50633.75
Refrigerator,Whirlpool,5,9.4,Moderate,10.3,1,66311,1,23949.22
Tablet,Huawei,5,6.4,Light,7.4,2,44136,8,500.0
Washing Machine,LG,1,8.0,Moderate,8.1,5,41268,6,10699.11
TV,TCL,5,13.3,Moderate,14.200000000000001,2,190871,5,68014.6
Smartwatch,Noise,3,2.6,Moderate,3.1,5,45925,1,31110.48
Smartwatch,Noise,1,2.4,Light,2.6,5,40766,7,500.0
Smartwatch,Amazfit,5,4.7,Moderate,5.6000000000000005,2,46354,10,500.0
Refrigerator,Godrej,4,12.7,Moderate,13.4,1,67683,5,16971.26
Refrigerator,Bosch,1,12.1,Moderate,12.2,3,79339,2,46432.82
Smartphone,Vivo,2,3.2,Moderate,3.5,2,93577,7,500.0
Laptop,Apple,1,3.7,Moderate,3.8000000000000003,3,92655,3,13654.42
Tablet,Samsung,2,5.1,Heavy,5.2,4,20786,4,4077.25
Smartphone,Samsung,1,3.0,Light,3.2,2,28856,2,5951.55
Smartphone,Vivo,2,3.9,Heavy,4.0,4,78877,9,500.0
Smartphone,Vivo,3,3.0,Heavy,3.3000000000000003,4,42918,4,500.0
Smartphone,Samsung,1,4.4,Moderate,4.500000000000001,3,97947,4,7618.1
TV,OnePlus,4,10.0,Heavy,10.5,2,137483,10,3600.75
TV,OnePlus,5,8.6,Heavy,9.299999999999999,3,199888,8,19558.93
Washing Machine,Bosch,1,12.5,Moderate,12.6,3,55556,3,29629.87
Smartphone,OnePlus,5,3.2,Light,4.2,2,34143,4,894.22
Tablet,Apple,2,5.5,Heavy,5.6000000000000005,3,41143,9,500.0
Smartphone,Samsung,3,2.1,Light,2.7,2,77261,8,500.0
Washing Machine,Bosch,5,8.0,Light,9.0,5,15275,7,3394.44
Washing Machine,Bosch,4,13.2,Light,14.0,3,17817,3,9799.35
Tablet,Lenovo,5,7.0,Moderate,7.9,3,78608,9,500.0
Washing Machine,Whirlpool,1,9.7,Light,9.899999999999999,3,23698,2,13237.37
Smartphone,Apple,5,2.5,Heavy,3.2,5,91121,4,500.0
Washing Machine,LG,1,8.3,Moderate,8.4,4,38039,8,1539.67
Smartwatch,Samsung,4,2.2,Light,3.0,1,42217,4,500.0
Laptop,Asus,1,4.3,Heavy,4.2,2,97758,2,28163.61
Laptop,Acer,4,6.1,Light,6.8999999999999995,1,33689,10,500.0
Smartphone,Vivo,1,3.9,Moderate,3.9999999999999996,5,41111,8,500.0
Refrigerator,LG,4,13.3,Heavy,13.8,2,37632,8,8698.99
Smartphone,Samsung,4,3.0,Moderate,3.6999999999999997,3,102514,2,32970.72
Washing Machine,Bosch,5,9.6,Moderate,10.5,2,43594,6,10275.73
Washing Machine,LG,2,14.7,Moderate,15.0,3,39188,7,14630.19
Refrigerator,Whirlpool,4,9.4,Light,10.200000000000001,3,25290,10,500.0
Washing Machine,Samsung,2,11.1,Moderate,11.4,4,19482,5,9296.67
Refrigerator,Samsung,1,8.8,Heavy,8.7,2,32087,2,13590.87
Smartwatch,Samsung,3,3.1,Light,3.7,5,9334,8,500.0
Smartphone,Realme,5,3.6,Heavy,4.3,4,92672,10,500.0
Refrigerator,Godrej,2,10.1,Light,10.5,1,72621,1,26281.89
Refrigerator,Samsung,2,8.7,Light,9.1,2,39478,1,19326.87
Laptop,Dell,2,4.2,Heavy,4.300000000000001,2,48888,6,500.0
TV,Samsung,5,14.3,Light,15.3,2,183178,9,41484.43
Refrigerator,Godrej,4,14.9,Moderate,15.600000000000001,4,41144,8,17037.84
Smartphone,Apple,5,2.4,Heavy,3.1,3,15257,5,500.0
Laptop,Acer,1,6.9,Light,7.1000000000000005,1,94638,8,500.0
TV,Sony,3,12.7,Moderate,13.2,3,125864,1,81430.19
Laptop,HP,2,6.4,Moderate,6.700000000000001,1,123313,2,34601.26
